"['60454', 0.3470890698564131]","['148780', 0.24971368087028595]","['182934', 0.5196014072476991]","['303712', 0.13331683159379654]","['385437', 0.26086869798083523]","['408832', 0.36823698563046897]","['444018', 0.30974082324777114]","['486958', 0.07228262298931415]","['1995DC2', 0.3404603906274742]","['1999CP15', 0.11249454392898192]","['1999CU15', 0.16238958583054777]","['1999DH8', 0.3308222749244861]","['1999HS11', 0.41636159475414564]","['1999RR21', 0.252605775045247]","['2000CJ10', 0.36077544596852046]","['2000CP10', 0.42694580735005794]","['2000OH67', 0.241632525927725]","['2000PW29', 0.19636923788161376]","['2000PY29', 0.05986754056906773]","['2000QC22', 0.36594504722185406]","['2000YZ1', 0.45032857161609396]","['2001ES24', 0.29861684884446044]","['2001FL18', 0.3007865980827789]","['2001QX29', 0.32306481948086785]","['2001QZ29', 0.27241039336594924]","['2001UN18', 0.20757365539438402]","['2002CY15', 0.22341423950544137]","['2002FX36', 0.27561436389674354]","['2002VF13', 0.27634810943121774]","['2003HE57', 0.3872675075626504]","['2003QJ91', 0.12332445991688737]","['2003QT91', 0.19008334378952157]","['2003WU18', 0.31299996419521176]","['2003YN17', 0.17043760613847508]","['2004HE79', 0.318414701943534]","['2004HG79', 0.24117354246727]","['2004KF19', 0.3255091052278051]","['2004PX11', 0.29221930534068097]","['2004PY10', 0.20219267441284453]","['2004VB13', 0.24799189016218]","['2005EE29', 0.19715825518149194]","['2005GC18', 0.03846326057144354]","['2005JY18', 0.3187279052518233]","['2005LA54', 0.38865334478657676]","['2007CS79', 0.22011128454990242]","['2009KO30', 0.4032127508075567]","['2011BV16', 0.14768844770736017]","['2011UY41', 0.18593526404045113]","['2013FA28', 0.16046487960363537]","['2013GE13', 0.20320033854845485]","['2013GN13', 0.36898194750720387]","['2013GU13', 0.3123205443351195]","['2013JQ65', 0.436476485522172]","['2013SQ99', 0.228042052232064]","['2014LT28', 0.3072849205766321]","['2014PN70', 0.14135106088666696]","['2014TC86', 0.32881085381448244]","['2014WS50', 0.22004640968167583]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['20108', 0.3367156835004157]","['90482', 0.15030318853851474]","['456826', 0.36253296192876744]","['469362', 0.06958700679833624]","['469372', 0.3215275283939971]","['491767', 0.18762955927877795]","['2001FU17', 0.2896935423595845]","['2001RX14', 0.16977116505712447]","['2003HA57', 0.1687354393269108]","['2003TH58', 0.14615215193472794]","['2003UT29', 0.009698016042531747]","['2004HA79', 0.20875571485552952]","['2004VV13', 0.1401608059164577]","['2005CD81', 0.23427729620080023]","['2005TV18', 0.3784349990220943]","['2006WS19', 0.43498488305324323]","['2009JZ18', 0.22309627626845352]","['2010EL13', 0.325487406077645]","['2010JK12', 0.07181120027437216]","['2010VX11', 0.22076106650594537]","['2012UG17', 0.13114247399240325]","['2012UH17', 0.13436126110171706]","['2013HU15', 0.3445126289632284]","['2013JB65', 0.13888898989897874]","['2013JJ65', 0.07072091971157383]","['2014DP14', 0.279508226148797]","['2014GC54', 0.11087448541100392]","['2014GJ54', 0.058273077103877476]","['2014JK80', 0.26285271829515827]","['2014JP80', 0.45167350101058745]","['2014WC51', 0.09663411155049333]","['2014WF51', 0.2323810415779275]","['2014WQ51', 0.2290095009277013]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['182933', 0.6064390900989203]","['471210', 0.4812890295861747]","['2003FM12', 0.3137692304863529]","['2004QH29', 0.3901884544678325]","['2006WG20', 0.41414933297061146]","['2007FO51', 0.3414932356577461]","['2014FF72', 0.3573045899509326]","['2014GV53', 0.21364800490526187]","['2014UR22', 0.5466018386357676]","['2014WK50', 0.6421983572074849]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['15883', 0.5759393234949584]","['126719', 0.18368615720250375]","['1999CB11', 0.21689535645599264]","['1999CL11', 0.13899030307118762]","['1999OG4', 0.2931801419812968]","['1999RV21', 0.5894620391952037]","['1999RX21', 0.36381698098380993]","['2000PA30', 0.1556030065653352]","['2002CT15', 0.519129170488596]","['2002FV6', 0.2499439850290013]","['2003YV17', 0.5261500777799254]","['2005JR17', 0.42159529842275734]","['2009DR14', 0.1853809473817874]","['2010FX86', 0.2461865234894594]","['2010RO64', 0.1520000143020499]","['2012BV15', 0.20307930556269388]","['2012SB67', 0.5171724125935427]","['2013JM65', 0.36192443362139465]","['2013JV63', 0.33010437084682215]","['2014AM55', 0.3775432483144447]","['2014DL14', 0.2646227585598487]","['2014DN14', 0.33214304801971417]","['2015BZ51', 0.2101675625490876]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['2013FQ28', 0.39574541479760506]","['2014JM80', 0.6671983713009725]","['2015FJ34', 0.5371584806491727]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['79969', 0.21060297786525412]","['127871', 0.3121964354148089]","['131697', 0.23101388331810407]","['308460', 0.31813191334054136]","['427581', 0.2882327432574466]","['432949', 0.6297485098944559]","['2002GW32', 0.13080334202806185]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['15809', 0.3887033545341343]","['80806', 0.5891733209963892]","['126154', 0.07471678409897119]","['143751', 0.2951592753516138]","['149349', 0.29355612380953644]","['434709', 0.4723275323608451]","['469420', 0.15369807359264573]","['469584', 0.2935150799770112]","['470523', 0.39954486334588385]","['1997CV29', 0.3008893520447648]","['1999CX13', 0.30247131736098487]","['2000PL30', 0.2986703832422678]","['2000QN25', 0.3671499723190938]","['2000ST33', 0.6141123693379842]","['2001DC10', 0.5777686406979137]","['2001QF33', 0.09725431699370757]","['2002GS32', 0.2828570348672867]","['2002VV13', 0.2887698082797266]","['2004HL79', 0.29812061682131624]","['2004KK19', 0.19811588067066915]","['2004VE13', 0.2701307050782677]","['2005SE27', 0.306012748384623]","['2005TN74', 0.183292929012783]","['2006QQ18', 0.17670681318526218]","['2010MQ11', 0.6489200242141422]","['2010OO12', 0.5802559761226805]","['2011UJ41', 0.30590423693357716]","['2011UK41', 0.4259193560124805]","['2011UL41', 0.3947715822775449]","['2011UM41', 0.1515809942772621]","['2011UN41', 0.08430541011056736]","['2011UO41', 0.15993029052086824]","['2011UX41', 0.29956285179226966]","['2012BY15', 0.0863724367265501]","['2012TC32', 0.21746608431220665]","['2012UC17', 0.24395163900641173]","['2013GT13', 0.40894730446121075]","['2013JM64', 0.23598708052329795]","['2013JO65', 0.35773076164356943]","['2013RB98', 0.5485559204184072]","['2013UF15', 0.26462501360621243]","['2014DK14', 0.20374665107943007]","['2014OK39', 0.2806855931000267]","['2014OL39', 0.2958038164494879]","['2014QZ44', 0.2778456445113323]","['2014TA86', 0.09206955074244762]","['2014WN50', 0.28506736427363555]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['84522', 0.525600475646661]","['2004OJ14', 0.22573333825555497]","['2005SD27', 0.17498639947151817]","['2015AM28', 0.24426596160742742]","['2015GP50', 0.5043272152085408]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['385571', 0.4909659102218837]","['385695', 0.47619221434206727]","['2005TN53', 0.44809493971702014]","['2008LC18', 0.48443872161502194]","['2010TT19', 0.35308883443122396]","['2011HM10', 0.51967208410689]","['2011SO27', 0.4758048181765298]","['2014QO44', 0.3366592862227315]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['2014FZ71', 7.450580596923828e-09]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
